MyUnknownColumn,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore
713,female,group E,some college,free/reduced,none,55,57,60
801,male,group B,some high school,standard,none,66,58,50
604,male,group E,master's degree,standard,none,77,68,62
245,male,group C,associate's degree,standard,none,85,76,71
498,female,group C,high school,standard,none,62,63,68
338,female,group C,master's degree,free/reduced,completed,62,84,86
274,female,group D,some college,standard,completed,51,69,71
305,female,group D,high school,standard,completed,91,100,100
510,female,group C,master's degree,standard,none,81,82,79
823,female,group E,some high school,free/reduced,none,70,74,74
308,female,group B,associate's degree,free/reduced,none,53,71,67
862,female,group C,high school,free/reduced,none,57,74,71
654,male,group E,bachelor's degree,standard,none,83,76,74
409,female,group D,master's degree,free/reduced,none,83,87,85
868,female,group B,some college,standard,none,64,76,75
917,male,group C,some college,standard,none,72,79,72
425,female,group C,bachelor's degree,standard,completed,73,84,80
203,male,group C,high school,standard,none,72,70,65
806,male,group C,some high school,standard,none,52,54,46
230,male,group D,some high school,standard,none,61,65,63
616,male,group C,high school,free/reduced,none,55,52,44
140,male,group D,high school,free/reduced,none,48,43,37
998,female,group D,associate's degree,standard,none,75,76,87
59,female,group C,some high school,free/reduced,none,0,17,10
286,female,group E,high school,standard,completed,93,98,94
290,male,group E,master's degree,free/reduced,none,97,83,74
144,female,group C,master's degree,standard,completed,83,94,100
500,male,group B,high school,free/reduced,none,62,57,54
382,female,group C,bachelor's degree,free/reduced,none,38,52,51
925,male,group E,some high school,standard,completed,74,64,60
362,female,group C,some college,standard,completed,87,87,92
298,female,group D,some college,standard,none,65,76,70
871,female,group C,associate's degree,free/reduced,none,44,42,45
763,male,group D,associate's degree,standard,none,57,61,56
333,male,group B,associate's degree,standard,none,90,78,81
227,female,group D,bachelor's degree,standard,none,71,67,73
796,female,group B,some high school,free/reduced,none,55,71,69
785,female,group E,associate's degree,standard,completed,82,74,83
8,female,group C,some college,free/reduced,completed,57,75,73
879,male,group D,associate's degree,free/reduced,none,54,54,48
871,female,group C,some college,standard,completed,100,97,100
865,female,group E,some college,standard,completed,79,79,81
375,female,group E,some high school,free/reduced,completed,76,81,82
166,female,group B,associate's degree,standard,completed,63,91,91
560,male,group E,high school,free/reduced,completed,77,62,64
642,male,group B,some college,standard,none,55,53,46
73,female,group B,associate's degree,free/reduced,none,55,66,68
690,male,group A,bachelor's degree,free/reduced,none,27,32,26
831,male,group B,associate's degree,free/reduced,none,58,57,59
419,female,group A,some college,standard,none,54,62,55
297,male,group A,associate's degree,standard,none,69,58,55
264,male,group C,master's degree,standard,none,65,65,60
491,female,group C,some college,standard,none,55,68,65
810,male,group C,high school,standard,completed,66,56,53
353,female,group E,high school,standard,none,57,60,58
738,female,group D,bachelor's degree,free/reduced,none,58,69,74
625,female,group C,associate's degree,standard,completed,100,100,100
208,male,group D,associate's degree,standard,none,74,71,68
33,male,group B,some high school,standard,completed,85,83,82
952,female,group B,some high school,free/reduced,none,64,68,70
812,male,group D,associate's degree,standard,none,59,62,57
903,female,group C,high school,standard,none,86,95,92
982,female,group B,bachelor's degree,free/reduced,none,65,83,77
188,male,group B,some college,standard,none,68,55,57
444,female,group E,associate's degree,standard,completed,67,72,71
378,male,group B,bachelor's degree,standard,completed,87,85,84
645,male,group B,bachelor's degree,standard,completed,81,67,72
403,female,group B,some high school,free/reduced,none,55,59,59
535,female,group B,some college,standard,none,64,73,71
684,male,group B,high school,free/reduced,completed,89,83,76
205,female,group B,associate's degree,free/reduced,completed,54,70,71
701,female,group D,some high school,standard,none,74,69,68
315,male,group D,some college,free/reduced,none,73,73,67
26,male,group E,associate's degree,free/reduced,none,71,62,60
157,male,group E,some college,standard,completed,90,78,79
416,male,group C,some college,free/reduced,completed,86,87,80
287,male,group D,some college,free/reduced,completed,72,69,71
922,female,group D,associate's degree,free/reduced,none,37,48,55
50,male,group D,some high school,standard,none,73,66,71
68,male,group B,master's degree,standard,completed,82,75,76
297,male,group E,bachelor's degree,free/reduced,none,73,63,56
941,female,group C,associate's degree,free/reduced,none,55,72,66
