iter	RMSE
0	14.02583509
1	12.97087225
2	12.02234615
3	11.16698475
4	10.41132041
5	9.742655074
6	9.173428075
7	8.652888131
8	8.208054572
9	7.808590293
10	7.468288564
11	7.178993739
12	6.9115097
13	6.686712862
14	6.49463008
15	6.33525836
16	6.18465922
17	6.063752138
18	5.958964912
19	5.868733199
20	5.792375838
21	5.728404111
22	5.674691117
23	5.628661558
24	5.591919102
25	5.561289336
26	5.533959137
27	5.508943875
28	5.488903766
29	5.473019611
30	5.459357059
31	5.445459199
32	5.433780035
33	5.424716727
34	5.416558683
35	5.408463408
36	5.401690252
37	5.396349693
38	5.389948402
39	5.383918312
40	5.379764724
41	5.375507141
42	5.371759506
43	5.368115771
44	5.365217263
45	5.361926392
46	5.35904499
47	5.355809938
48	5.353221452
49	5.35070285
50	5.349913414
51	5.347728528
52	5.345754458
53	5.343116567
54	5.340620328
55	5.339507606
56	5.338501345
57	5.336807295
58	5.336529046
59	5.33421188
60	5.332146698
61	5.330656347
62	5.328976416
63	5.327151115
64	5.326284867
65	5.324110033
66	5.322681961
67	5.321467992
68	5.320240406
69	5.318283468
70	5.316789481
71	5.315876578
72	5.313594426
73	5.311965482
74	5.309908919
75	5.306625277
76	5.305150953
77	5.303230045
78	5.302451368
79	5.300852153
80	5.298706691
81	5.297042466
82	5.295055925
83	5.293960825
84	5.292928448
85	5.292499077
86	5.292034941
87	5.290231459
88	5.287853331
89	5.286971428
90	5.28588764
91	5.284142275
92	5.28204722
93	5.280331583
94	5.279585159
95	5.277702615
96	5.275504101
97	5.274219919
98	5.271649514
99	5.270408476
