iter	Passed	Remaining
0	3	378
1	7	345
2	10	330
3	13	314
4	16	304
5	19	298
6	21	291
7	25	292
8	28	291
9	32	288
10	34	283
11	37	275
12	40	269
13	43	264
14	45	258
15	48	254
16	51	250
17	53	245
18	56	240
19	58	235
20	61	231
21	64	227
22	66	224
23	69	219
24	71	215
25	73	209
26	76	205
27	78	202
28	81	198
29	83	195
30	86	192
31	89	189
32	91	186
33	94	182
34	96	179
35	99	176
36	102	173
37	104	170
38	107	167
39	109	164
40	112	161
41	114	158
42	117	155
43	119	152
44	122	149
45	124	146
46	127	143
47	130	140
48	132	138
49	135	135
50	137	131
51	139	128
52	142	126
53	144	123
54	147	120
55	149	117
56	152	114
57	155	112
58	156	108
59	159	106
60	161	103
61	164	100
62	166	98
63	169	95
64	171	92
65	174	89
66	177	87
67	179	84
68	182	81
69	184	79
70	187	76
71	189	73
72	192	71
73	195	68
74	197	65
75	200	63
76	202	60
77	205	57
78	207	55
79	210	52
80	212	49
81	215	47
82	218	44
83	220	42
84	223	39
85	225	36
86	227	34
87	230	31
88	233	28
89	235	26
90	238	23
91	240	20
92	243	18
93	245	15
94	248	13
95	250	10
96	253	7
97	255	5
98	258	2
99	261	0
