iter	RMSE
0	14.46900885
1	13.75940387
2	13.10231775
3	12.48344268
4	11.91724424
5	11.38287498
6	10.8815659
7	10.41824792
8	9.994069953
9	9.592849177
10	9.237316653
11	8.902502084
12	8.606957907
13	8.329315492
14	8.072212979
15	7.841312313
16	7.629404872
17	7.435180999
18	7.256390966
19	7.090902796
20	6.940588476
21	6.805681154
22	6.683143836
23	6.558711032
24	6.453732869
25	6.359612256
26	6.26759603
27	6.193674179
28	6.124373781
29	6.057905763
30	5.998831778
31	5.9426597
32	5.889577171
33	5.846336339
34	5.804474908
35	5.766401643
36	5.736698027
37	5.707902756
38	5.678698967
39	5.655760869
40	5.629512032
41	5.607580259
42	5.586782286
43	5.567382281
44	5.551190032
45	5.535992292
46	5.522178912
47	5.509286245
48	5.497584583
49	5.486580824
50	5.478254059
51	5.470338439
52	5.46390002
53	5.456382556
54	5.449626184
55	5.444016362
56	5.438730035
57	5.434078297
58	5.429424627
59	5.42609624
60	5.422569247
61	5.417670969
62	5.414049131
63	5.411059739
64	5.408020745
65	5.405443792
66	5.403071951
67	5.400677705
68	5.39826117
69	5.396428195
70	5.394653988
71	5.392590717
72	5.390173497
73	5.388696314
74	5.387408188
75	5.385990693
76	5.384745491
77	5.383708442
78	5.38233616
79	5.381313963
80	5.380652827
81	5.380037829
82	5.377994352
83	5.376701186
84	5.375938954
85	5.374382607
86	5.373682224
87	5.372174649
88	5.371396451
89	5.370318741
90	5.36986231
91	5.369243329
92	5.368280601
93	5.367462087
94	5.366852996
95	5.36630809
96	5.365548678
97	5.365486527
98	5.364510945
99	5.363815061
100	5.363014254
101	5.362365179
102	5.361374519
103	5.360811376
104	5.360207466
105	5.359375516
106	5.358588388
107	5.357720085
108	5.3566879
109	5.355701774
110	5.355157567
111	5.354527565
112	5.354045531
113	5.353796901
114	5.352351152
115	5.351815748
116	5.350858546
117	5.350312522
118	5.349955975
119	5.349454634
120	5.348937845
121	5.348552145
122	5.347931521
123	5.34734619
124	5.346726397
125	5.346173592
126	5.345405896
127	5.34473468
128	5.343822052
129	5.343239735
130	5.342448153
131	5.341992989
132	5.341477418
133	5.340772267
134	5.340310147
135	5.339554665
136	5.339254655
137	5.338808668
138	5.338383379
139	5.337366872
140	5.336376938
141	5.335915386
142	5.335408088
143	5.334706828
144	5.334083482
145	5.333767017
146	5.332948835
147	5.332726782
148	5.332398282
149	5.331920349
150	5.331457533
151	5.330875991
152	5.330026698
153	5.329041549
154	5.328515344
155	5.327367246
156	5.327188227
157	5.326614848
158	5.325880604
159	5.32541615
160	5.32496336
161	5.324427879
162	5.324073845
163	5.323761914
164	5.32360645
165	5.323231884
166	5.322840118
167	5.322046864
168	5.321861984
169	5.321626337
170	5.321114975
171	5.32096369
172	5.320787016
173	5.320128186
174	5.319539966
175	5.318739583
176	5.318514311
177	5.317590881
178	5.317209638
179	5.316248835
180	5.316133305
181	5.316110409
182	5.316043407
183	5.315955088
184	5.314987088
185	5.314337417
186	5.313838233
187	5.313215312
188	5.312470377
189	5.311870573
190	5.311592749
191	5.310858577
192	5.310024495
193	5.309821855
194	5.309742484
195	5.30972042
196	5.309183976
197	5.309162162
198	5.308726762
199	5.308355703
200	5.30805001
201	5.307233937
202	5.306567733
203	5.306026264
204	5.30524103
205	5.305225454
206	5.305210728
207	5.304714766
208	5.304699255
209	5.304148206
210	5.303365059
211	5.302446198
212	5.302433912
213	5.302375997
214	5.302363554
215	5.302350569
216	5.302333963
217	5.301758039
218	5.301156525
219	5.301091758
220	5.300742912
221	5.300313663
222	5.300302273
223	5.300252515
224	5.299700346
225	5.299195988
226	5.298783166
227	5.298214594
228	5.297345222
229	5.296808462
230	5.296371133
231	5.295656564
232	5.295524538
233	5.29497133
234	5.294326224
235	5.293821825
236	5.293299745
237	5.292586934
238	5.29220374
239	5.291506099
240	5.291440071
241	5.290831883
242	5.290823462
243	5.290567222
244	5.289792769
245	5.289123496
246	5.288715783
247	5.28803818
248	5.287714461
249	5.287092493
250	5.286195076
251	5.285731161
252	5.285563902
253	5.284839758
254	5.284686804
255	5.284398977
256	5.283535687
257	5.282932638
258	5.28262107
259	5.282321497
260	5.281565141
261	5.281036298
262	5.280526457
263	5.279803005
264	5.279702016
265	5.279148057
266	5.278451967
267	5.278178839
268	5.277603691
269	5.277183943
270	5.276633781
271	5.275917803
272	5.275478808
273	5.275011455
274	5.27428125
275	5.273918986
276	5.273319796
277	5.273065179
278	5.272344211
279	5.27152692
280	5.270772395
281	5.270167782
282	5.269854992
283	5.269374242
284	5.268845741
285	5.268503742
286	5.268494778
287	5.268429659
288	5.267953243
289	5.267511583
290	5.266857485
291	5.266816934
292	5.266548439
293	5.26617687
294	5.265449928
295	5.265026256
296	5.264499984
297	5.263601444
298	5.263387109
299	5.263376595
300	5.26256737
301	5.262488585
302	5.262175816
303	5.262069934
304	5.261628354
305	5.261139639
306	5.26056647
307	5.259955794
308	5.259904426
309	5.259212602
310	5.258589426
311	5.258182984
312	5.25762675
313	5.257462622
314	5.257055108
315	5.256569531
316	5.256192906
317	5.255670712
318	5.255655168
319	5.255125678
320	5.254735077
321	5.253952979
322	5.253257746
323	5.252808252
324	5.252016406
325	5.25132196
326	5.250607661
327	5.250360733
328	5.250192933
329	5.249541209
330	5.249019579
331	5.248754325
332	5.247875306
333	5.247757835
334	5.2472934
335	5.246957566
336	5.24640142
337	5.246372067
338	5.245715866
339	5.245515929
340	5.245197673
341	5.244821096
342	5.244216166
343	5.243484896
344	5.242884624
345	5.242530978
346	5.24230932
347	5.241993733
348	5.24164268
349	5.241453008
350	5.240984539
351	5.240757605
352	5.240476454
353	5.24040513
354	5.23990086
355	5.239635201
356	5.239617911
357	5.239060273
358	5.239053878
359	5.238743462
360	5.238033594
361	5.237599421
362	5.237006116
363	5.236330141
364	5.235859053
365	5.235311304
366	5.234617317
367	5.233897978
368	5.232968639
369	5.232580938
370	5.232550299
371	5.232185418
372	5.231736141
373	5.231243042
374	5.230839439
375	5.23027555
376	5.2299803
377	5.229802019
378	5.229295594
379	5.229153226
380	5.228637445
381	5.228181761
382	5.227805194
383	5.227093796
384	5.226895085
385	5.226515358
386	5.226462343
387	5.226439985
388	5.226237286
389	5.226095262
390	5.22548319
391	5.225129595
392	5.224492967
393	5.224234207
394	5.22367729
395	5.223147522
396	5.222867575
397	5.222301097
398	5.221794343
399	5.221524152
400	5.221058847
401	5.220573263
402	5.220177827
403	5.219786158
404	5.219304306
405	5.219263471
406	5.219249637
407	5.218690998
408	5.218407274
409	5.217884019
410	5.217462017
411	5.216980634
412	5.216841206
413	5.216770494
414	5.216328046
415	5.215810158
416	5.215074941
417	5.214649768
418	5.214452245
419	5.213881282
420	5.213486385
421	5.213245443
422	5.212820587
423	5.212771581
424	5.212414253
425	5.211811996
426	5.211410944
427	5.211023206
428	5.21066805
429	5.210322514
430	5.2097514
431	5.209130865
432	5.20877019
433	5.208642912
434	5.208468107
435	5.207890045
436	5.207629669
437	5.207097845
438	5.207085472
439	5.206724746
440	5.206065102
441	5.20604399
442	5.205707812
443	5.205232494
444	5.20517215
445	5.205064119
446	5.20479922
447	5.204271848
448	5.204206153
449	5.203727475
450	5.203724034
451	5.203313261
452	5.203007115
453	5.202636364
454	5.202100449
455	5.201978748
456	5.201702087
457	5.201407456
458	5.201151745
459	5.200936368
460	5.200608489
461	5.200293686
462	5.19993899
463	5.199630746
464	5.19936897
465	5.199261832
466	5.199200764
467	5.19919465
468	5.198804325
469	5.19834965
470	5.19770623
471	5.197401122
472	5.197248912
473	5.196807233
474	5.196275862
475	5.195946095
476	5.195734616
477	5.195274032
478	5.195103778
479	5.195096095
480	5.194760581
481	5.194093742
482	5.194040008
483	5.19391819
484	5.193251628
485	5.192914286
486	5.192147623
487	5.191752292
488	5.191276934
489	5.190545795
490	5.190045956
491	5.189717616
492	5.189614377
493	5.189371107
494	5.188808139
495	5.188566605
496	5.188460152
497	5.188441186
498	5.187793535
499	5.187483366
500	5.187180075
501	5.186775466
502	5.186683549
503	5.186665429
504	5.186276984
505	5.185698965
506	5.185347393
507	5.184895082
508	5.184552929
509	5.184333535
510	5.184005637
511	5.183510278
512	5.183390457
513	5.183022469
514	5.182929341
515	5.182911402
516	5.182744804
517	5.182419349
518	5.182019467
519	5.181848658
520	5.181414262
521	5.181304568
522	5.180818495
523	5.180203336
524	5.179858412
525	5.179394336
526	5.17900534
527	5.178600359
528	5.178517354
529	5.17835649
530	5.178328743
531	5.178099001
532	5.177362807
533	5.177273871
534	5.177080961
535	5.177071274
536	5.176804172
537	5.176474782
538	5.17630425
539	5.176297893
540	5.176165648
541	5.176153466
542	5.175775803
543	5.17575797
544	5.175466982
545	5.175188768
546	5.174706898
547	5.174510168
548	5.174227929
549	5.174145378
550	5.173795972
551	5.173758577
552	5.173317834
553	5.173059992
554	5.172585437
555	5.172140288
556	5.171592528
557	5.171069932
558	5.170637319
559	5.170357306
560	5.170151575
561	5.169908985
562	5.169676868
563	5.169563248
564	5.169420069
565	5.169298037
566	5.16879667
567	5.168447517
568	5.168039394
569	5.167680203
570	5.167280292
571	5.167190223
572	5.167107427
573	5.16684727
574	5.166429972
575	5.165893935
576	5.165832893
577	5.16552323
578	5.16508234
579	5.16467268
580	5.164130386
581	5.163638007
582	5.163314365
583	5.163024631
584	5.162516383
585	5.161977284
586	5.161556191
587	5.161312637
588	5.161258235
589	5.160922634
590	5.160235564
591	5.159870583
592	5.159841903
593	5.159459489
594	5.158861245
595	5.158352769
596	5.157989898
597	5.15783534
598	5.157731479
599	5.157215567
600	5.156930631
601	5.156616047
602	5.156228633
603	5.155896127
604	5.1552153
605	5.154959252
606	5.15473818
