iter	Passed	Remaining
0	103	103723
1	107	53787
2	112	37234
3	116	29119
4	120	23924
5	123	20377
6	130	18545
7	134	16665
8	139	15313
9	142	14066
10	147	13232
11	149	12340
12	154	11733
13	157	11110
14	162	10681
15	165	10200
16	170	9885
17	174	9507
18	178	9219
19	181	8885
20	185	8643
21	189	8407
22	193	8205
23	197	8013
24	201	7872
25	205	7682
26	209	7566
27	212	7387
28	217	7286
29	221	7164
30	225	7063
31	228	6924
32	232	6810
33	235	6702
34	238	6564
35	242	6499
36	245	6381
37	249	6321
38	252	6233
39	257	6176
40	261	6116
41	266	6082
42	269	5989
43	273	5937
44	276	5872
45	281	5829
46	284	5775
47	289	5748
48	293	5688
49	297	5653
50	300	5593
51	304	5558
52	308	5517
53	313	5483
54	316	5439
55	320	5410
56	323	5350
57	328	5332
58	331	5284
59	336	5266
60	339	5232
61	344	5212
62	348	5181
63	353	5168
64	356	5122
65	361	5109
66	363	5056
67	366	5022
68	370	4995
69	373	4967
70	377	4940
71	383	4936
72	387	4923
73	392	4907
74	394	4864
75	397	4835
76	399	4794
77	401	4749
78	405	4724
79	407	4690
80	410	4652
81	413	4627
82	415	4594
83	419	4572
84	422	4543
85	424	4510
86	427	4481
87	430	4457
88	432	4425
89	435	4407
90	439	4386
91	441	4353
92	444	4336
93	446	4305
94	448	4274
95	451	4252
96	453	4225
97	455	4188
98	456	4158
99	459	4136
100	461	4110
101	463	4083
102	466	4058
103	468	4032
104	469	4002
105	471	3977
106	473	3952
107	475	3930
108	478	3908
109	479	3883
110	482	3862
111	484	3842
112	486	3818
113	488	3795
114	491	3780
115	493	3758
116	495	3737
117	497	3716
118	499	3700
119	501	3680
120	504	3665
121	507	3655
122	510	3640
123	513	3627
124	516	3618
125	519	3601
126	523	3601
127	526	3586
128	530	3583
129	534	3575
130	538	3574
131	541	3562
132	546	3561
133	550	3557
134	554	3553
135	558	3548
136	562	3545
137	565	3535
138	570	3534
139	573	3520
140	575	3504
141	579	3504
142	582	3489
143	586	3488
144	589	3476
145	593	3472
146	597	3466
147	601	3464
148	605	3456
149	609	3453
150	612	3443
151	617	3442
152	620	3437
153	626	3439
154	629	3431
155	634	3432
156	637	3422
157	641	3417
158	644	3410
159	649	3407
160	653	3405
161	658	3408
162	661	3399
163	666	3398
164	669	3387
165	673	3384
166	676	3372
167	680	3370
168	682	3357
169	686	3351
170	689	3344
171	691	3330
172	695	3325
173	697	3312
174	701	3307
175	704	3296
176	706	3283
177	709	3278
178	711	3265
179	713	3252
180	716	3244
181	718	3231
182	720	3218
183	722	3205
184	725	3194
185	726	3181
186	728	3168
187	731	3157
188	733	3145
189	734	3132
190	736	3120
191	738	3109
192	740	3098
193	742	3086
194	744	3073
195	746	3060
196	748	3049
197	749	3037
198	751	3026
199	753	3014
200	755	3004
201	757	2993
202	759	2982
203	761	2970
204	763	2962
205	765	2949
206	766	2938
207	768	2927
208	771	2919
209	773	2910
210	775	2900
211	777	2890
212	779	2880
213	781	2869
214	782	2858
215	784	2848
216	786	2838
